borough,date,count
QUEENS,2018-10-10,49
QUEENS,2018-11-03,29
BRONX,2018-12-11,41
STATEN ISLAND,2019-01-07,5
MANHATTAN,2019-01-16,56
BROOKLYN,2019-07-30,67
MANHATTAN,2019-08-13,164
BRONX,2019-09-14,65
BROOKLYN,2019-10-05,32
QUEENS,2019-11-16,26
BROOKLYN,2019-12-07,41
QUEENS,2018-03-06,25
QUEENS,2018-03-25,43
STATEN ISLAND,2018-04-20,10
BRONX,2018-06-13,69
MANHATTAN,2018-01-23,153
BRONX,2018-02-02,57
BROOKLYN,2018-03-30,54
BROOKLYN,2018-04-25,71
STATEN ISLAND,2018-07-04,46
BRONX,2018-07-26,49
STATEN ISLAND,2018-08-27,4
BRONX,2018-11-25,45
STATEN ISLAND,2019-02-26,5
STATEN ISLAND,2019-03-01,8
STATEN ISLAND,2019-04-15,2
QUEENS,2019-05-26,18
BROOKLYN,2019-07-20,37
QUEENS,2018-02-05,19
MANHATTAN,2018-02-25,23
MANHATTAN,2018-07-28,43
BROOKLYN,2018-09-27,14
STATEN ISLAND,2018-11-14,29
BRONX,2018-12-06,67
BRONX,2019-03-02,31
QUEENS,2019-04-27,28
MANHATTAN,2019-06-01,51
STATEN ISLAND,2019-07-10,12
STATEN ISLAND,2019-07-22,3
BRONX,2019-08-14,46
BRONX,2019-09-12,32
BRONX,2019-09-16,39
QUEENS,2019-10-16,55
BRONX,2019-12-02,21
QUEENS,2019-12-13,17
QUEENS,2019-12-20,6
BROOKLYN,2018-09-17,25
BRONX,2018-09-19,70
MANHATTAN,2018-11-22,4
QUEENS,2019-01-31,60
QUEENS,2019-03-06,106
QUEENS,2019-04-04,30
QUEENS,2019-04-15,15
BROOKLYN,2019-10-01,16
STATEN ISLAND,2019-11-12,1
BROOKLYN,2018-02-02,33
QUEENS,2018-02-19,21
QUEENS,2018-05-15,111
BRONX,2018-05-17,43
STATEN ISLAND,2018-05-22,44
MANHATTAN,2018-02-06,116
MANHATTAN,2018-04-27,62
MANHATTAN,2018-05-16,49
STATEN ISLAND,2018-06-01,6
MANHATTAN,2018-08-01,53
BRONX,2018-08-05,62
BRONX,2018-08-19,49
STATEN ISLAND,2018-09-26,4
QUEENS,2019-02-01,27
MANHATTAN,2019-02-11,105
BRONX,2019-02-25,31
QUEENS,2019-07-20,33
BROOKLYN,2019-08-15,69
MANHATTAN,2019-12-20,216
MANHATTAN,2018-07-18,105
BROOKLYN,2018-08-29,51
STATEN ISLAND,2018-09-20,8
BROOKLYN,2018-09-26,21
BROOKLYN,2019-03-22,100
BROOKLYN,2019-10-22,25
BROOKLYN,2019-11-06,13
BRONX,2018-01-21,71
QUEENS,2018-02-18,36
MANHATTAN,2018-02-22,119
STATEN ISLAND,2018-03-09,5
QUEENS,2018-03-20,45
QUEENS,2018-03-21,14
BROOKLYN,2018-04-05,27
STATEN ISLAND,2018-04-14,3
BRONX,2018-04-25,59
MANHATTAN,2018-05-02,99
BROOKLYN,2018-02-10,53
MANHATTAN,2018-03-03,23
QUEENS,2018-04-10,71
MANHATTAN,2018-07-09,116
BROOKLYN,2018-08-08,120
MANHATTAN,2018-09-02,23
STATEN ISLAND,2018-09-06,29
QUEENS,2018-09-20,7
BROOKLYN,2018-10-04,40
BRONX,2018-11-19,31
MANHATTAN,2019-01-11,98
BROOKLYN,2019-02-02,29
BROOKLYN,2019-02-22,49
QUEENS,2019-06-25,85
QUEENS,2019-10-19,11
MANHATTAN,2018-10-20,22
BROOKLYN,2018-11-05,18
MANHATTAN,2019-01-01,19
BRONX,2019-02-10,17
BROOKLYN,2019-03-13,67
BROOKLYN,2019-03-23,30
MANHATTAN,2019-05-19,14
MANHATTAN,2019-06-28,34
MANHATTAN,2019-07-28,16
STATEN ISLAND,2019-07-30,3
QUEENS,2019-08-06,9
BRONX,2019-12-19,33
BROOKLYN,2019-12-25,6
BRONX,2018-02-09,65
BRONX,2018-03-09,77
BROOKLYN,2018-05-08,27
BRONX,2018-06-09,97
BROOKLYN,2018-07-10,28
QUEENS,2019-01-10,30
BRONX,2018-04-06,44
BRONX,2018-09-12,55
MANHATTAN,2018-10-18,66
QUEENS,2018-11-19,37
QUEENS,2018-12-10,27
BRONX,2019-02-13,27
BROOKLYN,2019-03-15,33
QUEENS,2019-05-06,7
QUEENS,2019-07-08,91
STATEN ISLAND,2019-09-05,1
MANHATTAN,2019-11-08,63
BRONX,2019-11-15,16
STATEN ISLAND,2019-11-17,5
MANHATTAN,2019-12-07,22
QUEENS,2018-08-11,21
STATEN ISLAND,2018-10-11,3
STATEN ISLAND,2018-10-29,4
BROOKLYN,2018-11-04,33
QUEENS,2018-12-11,23
MANHATTAN,2018-12-21,23
STATEN ISLAND,2018-12-20,2
STATEN ISLAND,2019-05-11,17
BRONX,2019-06-03,40
QUEENS,2019-06-05,40
BROOKLYN,2019-06-19,40
BROOKLYN,2019-09-25,35
BRONX,2019-10-14,33
STATEN ISLAND,2019-11-23,2
QUEENS,2018-04-13,23
BRONX,2018-06-06,68
STATEN ISLAND,2018-07-10,5
BRONX,2018-08-04,64
MANHATTAN,2018-09-08,26
BRONX,2019-04-07,40
MANHATTAN,2019-05-22,79
STATEN ISLAND,2019-10-17,24
MANHATTAN,2019-11-29,129
MANHATTAN,2019-12-01,8
QUEENS,2018-08-22,13
BRONX,2018-08-31,50
BRONX,2018-09-16,29
BROOKLYN,2018-10-09,31
MANHATTAN,2018-12-04,64
QUEENS,2019-01-25,31
MANHATTAN,2019-03-09,50
MANHATTAN,2019-03-30,23
QUEENS,2019-04-28,16
QUEENS,2019-05-04,15
BRONX,2019-05-06,35
QUEENS,2019-05-09,18
BROOKLYN,2019-05-10,37
BRONX,2019-05-26,49
STATEN ISLAND,2019-06-09,1
BROOKLYN,2019-06-14,101
STATEN ISLAND,2019-06-23,9
MANHATTAN,2019-07-08,71
BROOKLYN,2019-07-22,16
QUEENS,2019-08-03,25
BROOKLYN,2019-09-24,13
STATEN ISLAND,2019-12-31,2
MANHATTAN,2018-01-14,29
BROOKLYN,2018-04-01,28
QUEENS,2018-04-29,45
STATEN ISLAND,2018-06-02,5
BROOKLYN,2018-06-12,81
QUEENS,2018-01-14,47
BROOKLYN,2018-01-18,45
QUEENS,2018-01-18,32
QUEENS,2018-04-24,24
BRONX,2018-05-08,36
MANHATTAN,2018-05-12,27
BRONX,2018-06-24,40
MANHATTAN,2018-08-07,88
MANHATTAN,2018-10-17,108
STATEN ISLAND,2018-10-30,14
STATEN ISLAND,2018-12-01,7
QUEENS,2019-02-24,16
QUEENS,2019-04-19,15
BROOKLYN,2019-07-04,60
QUEENS,2019-08-28,14
MANHATTAN,2019-09-19,74
QUEENS,2019-11-20,62
QUEENS,2018-09-17,9
QUEENS,2018-10-15,25
QUEENS,2018-10-28,15
STATEN ISLAND,2018-11-22,1
BRONX,2019-06-10,19
BRONX,2019-08-21,26
BROOKLYN,2019-10-02,49
STATEN ISLAND,2019-11-16,3
MANHATTAN,2019-12-10,138
BROOKLYN,2018-01-01,54
STATEN ISLAND,2018-01-18,16
QUEENS,2018-01-23,61
STATEN ISLAND,2018-02-21,7
MANHATTAN,2018-04-22,26
STATEN ISLAND,2018-05-14,4
QUEENS,2018-06-26,36
BRONX,2018-07-08,85
STATEN ISLAND,2018-01-16,2
BROOKLYN,2018-01-17,102
QUEENS,2018-01-25,31
STATEN ISLAND,2018-03-12,11
STATEN ISLAND,2018-05-17,11
BROOKLYN,2018-06-09,40
QUEENS,2018-07-15,25
QUEENS,2018-08-06,25
QUEENS,2018-08-24,33
BRONX,2018-09-17,61
QUEENS,2018-10-21,17
MANHATTAN,2018-11-11,18
STATEN ISLAND,2019-02-23,7
MANHATTAN,2019-04-30,83
STATEN ISLAND,2019-08-31,4
MANHATTAN,2018-08-25,42
MANHATTAN,2018-09-05,38
BROOKLYN,2018-09-13,69
QUEENS,2018-11-08,22
STATEN ISLAND,2019-01-01,3
QUEENS,2019-05-03,26
BRONX,2019-05-03,26
STATEN ISLAND,2019-06-01,12
QUEENS,2019-06-13,12
BRONX,2019-07-12,62
BROOKLYN,2019-08-24,29
STATEN ISLAND,2019-09-29,5
BROOKLYN,2019-11-23,20
BRONX,2019-12-26,13
STATEN ISLAND,2018-01-22,9
QUEENS,2018-02-15,48
BRONX,2018-02-20,40
QUEENS,2018-04-27,33
MANHATTAN,2018-05-17,96
MANHATTAN,2018-06-15,39
QUEENS,2018-02-22,84
BROOKLYN,2018-02-23,46
STATEN ISLAND,2018-04-29,30
QUEENS,2018-05-03,56
BRONX,2018-05-25,73
QUEENS,2018-08-05,26
QUEENS,2018-08-18,36
BRONX,2018-08-26,44
MANHATTAN,2018-09-20,84
BROOKLYN,2018-12-10,21
BRONX,2019-03-15,35
BROOKLYN,2019-05-23,18
MANHATTAN,2019-05-23,43
STATEN ISLAND,2019-07-25,8
QUEENS,2019-08-15,17
MANHATTAN,2019-08-24,11
BROOKLYN,2019-10-31,23
QUEENS,2019-11-06,6
BROOKLYN,2019-12-08,16
MANHATTAN,2019-12-16,97
BRONX,2018-07-27,58
MANHATTAN,2018-07-14,49
STATEN ISLAND,2018-09-05,8
MANHATTAN,2018-11-03,34
QUEENS,2018-11-26,10
STATEN ISLAND,2019-02-09,5
STATEN ISLAND,2019-03-18,6
STATEN ISLAND,2019-03-25,2
BRONX,2019-04-23,37
BRONX,2019-06-05,70
STATEN ISLAND,2019-06-28,7
BROOKLYN,2019-08-14,122
STATEN ISLAND,2019-09-13,4
